import time: self [us] | cumulative | imported package
import time:     12756 |      26304 |                               sqlalchemy.sql.sqltypes
import time:     40242 |      66545 |                             sqlalchemy.sql.selectable
import time:     16456 |      83000 |                           sqlalchemy.sql.schema
import time:     20417 |     160918 |                         sqlalchemy.sql.util
import time:     12358 |     173275 |                       sqlalchemy.sql.dml
import time:     11008 |     184283 |                     sqlalchemy.sql.crud
import time:     12314 |      12314 |                     sqlalchemy.sql.functions
import time:     20775 |     229162 |                   sqlalchemy.sql.compiler
import time:      7160 |       7160 |                     sqlalchemy.sql._dml_constructors
import time:      7774 |       7774 |                     sqlalchemy.sql._elements_constructors
import time:      9272 |       9272 |                     sqlalchemy.sql._selectable_constructors
import time:      8755 |       8755 |                     sqlalchemy.sql.lambdas
import time:     11983 |      44941 |                   sqlalchemy.sql.expression
import time:      7474 |       7474 |                   sqlalchemy.sql.default_comparator
import time:     11155 |      11155 |                     sqlalchemy.sql.events
import time:     10863 |      22018 |                   sqlalchemy.sql.naming
import time:     25937 |     429795 |                 sqlalchemy.sql
import time:       557 |     430351 |               sqlalchemy.sql.compiler
import time:     16661 |     586563 |             sqlalchemy.engine.interfaces
import time:      9988 |       9988 |             sqlalchemy.engine.util
import time:     15148 |     611698 |           sqlalchemy.engine.base
import time:     17073 |     628770 |         sqlalchemy.engine.events
import time:      9262 |       9262 |             sqlalchemy.dialects
import time:      9808 |      19070 |           sqlalchemy.engine.url
import time:      8046 |       8046 |           sqlalchemy.engine.mock
import time:     10561 |      37676 |         sqlalchemy.engine.create
import time:      8368 |       8368 |             sqlalchemy.engine.row
import time:     12148 |      20516 |           sqlalchemy.engine.result
import time:     10745 |      31260 |         sqlalchemy.engine.cursor
import time:     10157 |      10157 |         sqlalchemy.engine.reflection
import time:     15791 |     723652 |       sqlalchemy.engine
import time:      5925 |       5925 |       sqlalchemy.schema
import time:      6098 |       6098 |       sqlalchemy.types
import time:      8805 |       8805 |         sqlalchemy.engine.characteristics
import time:     13536 |      22340 |       sqlalchemy.engine.default
import time:     41387 |    1024693 |     sqlalchemy
import time:      9180 |       9180 |                   sqlalchemy.sql._orm_types
import time:     11297 |      20477 |                 sqlalchemy.orm._typing
import time:     13565 |      34041 |               sqlalchemy.orm.base
import time:      8587 |       8587 |               sqlalchemy.orm.mapped_collection
import time:     15415 |      58042 |             sqlalchemy.orm.collections
import time:     10129 |      10129 |               sqlalchemy.orm.path_registry
import time:     13419 |      23548 |             sqlalchemy.orm.interfaces
import time:     14981 |      96569 |           sqlalchemy.orm.attributes
import time:     15112 |     111681 |         sqlalchemy.orm.util
import time:     15946 |     127627 |       sqlalchemy.orm.exc
import time:     17638 |      17638 |           sqlalchemy.orm.state
import time:     10544 |      28182 |         sqlalchemy.orm.instrumentation
import time:     10475 |      10475 |               sqlalchemy.future.engine
import time:     14024 |      24499 |             sqlalchemy.future
import time:     14395 |      38894 |           sqlalchemy.orm.context
import time:      9677 |       9677 |               sqlalchemy.orm.strategy_options
import time:     10483 |      10483 |               sqlalchemy.orm.descriptor_props
import time:     11624 |      11624 |               sqlalchemy.orm.relationships
import time:     11203 |      42985 |             sqlalchemy.orm.properties
import time:     15294 |      15294 |             sqlalchemy.orm.query
import time:     10168 |      10168 |             sqlalchemy.orm.unitofwork
import time:     12208 |      12208 |                 sqlalchemy.orm.evaluator
import time:      8794 |       8794 |                   sqlalchemy.orm.sync
import time:     10810 |      19603 |                 sqlalchemy.orm.persistence
import time:     16319 |      48130 |               sqlalchemy.orm.bulk_persistence
import time:      9244 |       9244 |               sqlalchemy.orm.identity
import time:      8818 |       8818 |               sqlalchemy.orm.state_changes
import time:     22674 |      88865 |             sqlalchemy.orm.session
import time:     13935 |     171245 |           sqlalchemy.orm.strategies
import time:     16827 |     226965 |         sqlalchemy.orm.loading
import time:     13404 |     268549 |       sqlalchemy.orm.mapper
import time:     10138 |      10138 |       sqlalchemy.orm._orm_constructors
import time:     11591 |      11591 |         sqlalchemy.orm.clsregistry
import time:     13986 |      13986 |         sqlalchemy.orm.decl_base
import time:     12503 |      38079 |       sqlalchemy.orm.decl_api
import time:     10550 |      10550 |         sqlalchemy.orm.writeonly
import time:     12413 |      22963 |       sqlalchemy.orm.dynamic
import time:     11212 |      11212 |         sqlalchemy.orm.scoping
import time:     18122 |      29334 |       sqlalchemy.orm.events
import time:     11072 |      11072 |       sqlalchemy.orm.dependency
import time:     19180 |     526937 |     sqlalchemy.orm
import time:     27376 |      27376 |       airflow._shared.secrets_masker.secrets_masker
import time:     26970 |      54345 |     airflow._shared.secrets_masker
import time:     14822 |      14822 |     airflow.models.base
import time:     14575 |      14575 |           cryptography.__about__
import time:     16905 |      31480 |         cryptography
import time:     11185 |      11185 |         cryptography.utils
import time:     20765 |      20765 |               cryptography.hazmat
import time:     36092 |      56857 |             cryptography.hazmat.bindings
import time:      6649 |       6649 |             _cffi_backend
import time:    101163 |     164667 |           cryptography.hazmat.bindings._rust
import time:     13162 |     177828 |         cryptography.exceptions
import time:     10957 |      10957 |         cryptography.hazmat.primitives
import time:     14496 |      14496 |         cryptography.hazmat.primitives.hashes
import time:     10903 |      10903 |         cryptography.hazmat.primitives.padding
import time:     11387 |      11387 |           cryptography.hazmat.primitives._cipheralgorithm
import time:     11065 |      11065 |                   cryptography.hazmat.decrepit
import time:     19820 |      30884 |                 cryptography.hazmat.decrepit.ciphers
import time:      8466 |       8466 |                 cryptography.hazmat.primitives._modes
import time:     17180 |      56530 |               cryptography.hazmat.decrepit.ciphers.modes
import time:     10899 |      10899 |                 cryptography.hazmat.decrepit.ciphers.algorithms
import time:     11253 |      22152 |               cryptography.hazmat.primitives.ciphers.algorithms
import time:     15158 |      93839 |             cryptography.hazmat.primitives.ciphers.modes
import time:     28100 |     121938 |           cryptography.hazmat.primitives.ciphers.base
import time:     23516 |     156840 |         cryptography.hazmat.primitives.ciphers
import time:      8181 |       8181 |         cryptography.hazmat.primitives.hmac
import time:     18459 |     440326 |       cryptography.fernet
import time:     14600 |     454926 |     airflow.models.crypto
import time:      1230 |       1230 |         copy_reg
import time:     13485 |      13485 |         lazy_object_proxy.utils
import time:     10610 |      10610 |         lazy_object_proxy.cext
import time:      8242 |       8242 |         lazy_object_proxy._version
import time:     16229 |      49795 |       lazy_object_proxy
import time:     19474 |      19474 |           airflow.serialization
import time:     26609 |      46083 |         airflow.serialization.definitions
import time:     25022 |      71104 |       airflow.serialization.definitions.notset
import time:     11617 |     132515 |     airflow.utils.helpers
import time:      8508 |       8508 |             pluggy._result
import time:     14011 |      22519 |           pluggy._hooks
import time:      9100 |       9100 |             pluggy._tracing
import time:      9536 |       9536 |               pluggy._warnings
import time:      9961 |      19497 |             pluggy._callers
import time:     18918 |      47514 |           pluggy._manager
import time:     11559 |      11559 |           pluggy._version
import time:     13164 |      94754 |         pluggy
import time:     12784 |      12784 |           sqlalchemy.ext
import time:     13595 |      13595 |             sqlalchemy.ext.asyncio.exc
import time:     12542 |      12542 |             sqlalchemy.ext.asyncio.base
import time:     12655 |      12655 |             sqlalchemy.ext.asyncio.result
import time:     24022 |      62814 |           sqlalchemy.ext.asyncio.engine
import time:     15371 |      15371 |             sqlalchemy.ext.asyncio.session
import time:     13092 |      28462 |           sqlalchemy.ext.asyncio.scoping
import time:     27543 |     131601 |         sqlalchemy.ext.asyncio
import time:     20350 |      20350 |           airflow._shared.observability
import time:      6686 |       6686 |           opentelemetry
import time:     17670 |      17670 |             opentelemetry.context.context
import time:      9950 |       9950 |             opentelemetry.context.contextvars_context
import time:     14589 |      14589 |             opentelemetry.environment_variables
import time:     19012 |      61220 |           opentelemetry.context
import time:     10958 |      10958 |               opentelemetry.util
import time:     15840 |      15840 |               opentelemetry.util.types
import time:     18515 |      45311 |             opentelemetry.attributes
import time:     13079 |      13079 |                 opentelemetry.trace.status
import time:     15042 |      28121 |               opentelemetry.trace.span
import time:     25628 |      53748 |             opentelemetry.trace.propagation
import time:     27458 |      27458 |             opentelemetry.util._decorator
import time:     26442 |      26442 |             opentelemetry.util._once
import time:     14889 |      14889 |             opentelemetry.util._providers
import time:     22948 |     190794 |           opentelemetry.trace
import time:     10981 |      10981 |             opentelemetry.sdk
import time:     35234 |      35234 |             opentelemetry.sdk.environment_variables
import time:     23452 |      23452 |             opentelemetry.sdk.version
import time:     14702 |      14702 |               opentelemetry.semconv
import time:     25437 |      40138 |             opentelemetry.semconv.resource
import time:        99 |         99 |               pwd
import time:     13978 |      13978 |               psutil._common
import time:     12209 |      12209 |               psutil._ntuples
import time:      1812 |       1812 |                 glob
import time:      1416 |       1416 |                 resource
import time:      8862 |       8862 |                 psutil._psposix
import time:      6191 |       6191 |                 psutil._psutil_linux
import time:     16059 |      34337 |               psutil._pslinux
import time:     18686 |      79307 |             psutil
import time:     37759 |     226868 |           opentelemetry.sdk.resources
import time:     15876 |      15876 |                   opentelemetry.metrics._internal.observation
import time:     25414 |      41290 |                 opentelemetry.metrics._internal.instrument
import time:     55914 |      97203 |               opentelemetry.metrics._internal
import time:     30131 |     127334 |             opentelemetry.metrics
import time:     22527 |      22527 |             opentelemetry.sdk.util
import time:     20365 |      20365 |             opentelemetry.sdk.environment_variables._internal
import time:     28619 |      28619 |             opentelemetry.sdk.trace.sampling
import time:     15623 |      15623 |                   opentelemetry.semconv._incubating
import time:     35178 |      50800 |                 opentelemetry.semconv._incubating.attributes
import time:     33095 |      83895 |               opentelemetry.semconv._incubating.attributes.otel_attributes
import time:     21424 |      21424 |                 opentelemetry.semconv._incubating.metrics
import time:     27542 |      48966 |               opentelemetry.semconv._incubating.metrics.otel_metrics
import time:     15410 |     148269 |             opentelemetry.sdk.trace._tracer_metrics
import time:     14175 |      14175 |             opentelemetry.sdk.trace.id_generator
import time:     14621 |      14621 |               opentelemetry.sdk.util.instrumentation
import time:     21130 |      35750 |             opentelemetry.sdk.util._configurator
import time:     18685 |      18685 |               opentelemetry.semconv.attributes
import time:     23810 |      42495 |             opentelemetry.semconv.attributes.exception_attributes
import time:     35604 |     475134 |           opentelemetry.sdk.trace
import time:     14523 |      14523 |                 opentelemetry.semconv.attributes.error_attributes
import time:     23695 |      38218 |               opentelemetry.sdk._shared_internal._processor_metrics
import time:     25676 |      63894 |             opentelemetry.sdk._shared_internal
import time:     26879 |      90773 |           opentelemetry.sdk.trace.export
import time:      9657 |       9657 |             opentelemetry.propagators
import time:     26293 |      26293 |             opentelemetry.propagators.textmap
import time:     25031 |      60981 |           opentelemetry.trace.propagation.tracecontext
import time:     35728 |    1168530 |         airflow._shared.observability.traces
import time:      6793 |       6793 |         airflow.policies
import time:     20854 |      20854 |           airflow._shared.timezones
import time:     13793 |      13793 |             pendulum.constants
import time:      8577 |       8577 |               pendulum.day
import time:     17482 |      17482 |                     dateutil.parser._parser
import time:     10169 |      10169 |                     dateutil.parser.isoparser
import time:     26820 |      26820 |                     pendulum.parsing.exceptions
import time:      8522 |       8522 |                     pendulum._pendulum
import time:     34971 |      97962 |                   pendulum.parsing
import time:       793 |      98755 |                 pendulum.parsing.exceptions
import time:      9679 |     108433 |               pendulum.exceptions
import time:     11225 |      11225 |                   pendulum.locales
import time:     14223 |      25448 |                 pendulum.locales.locale
import time:      6191 |      31638 |               pendulum.helpers
import time:     10570 |      10570 |                     pendulum.utils
import time:     14186 |      24756 |                   pendulum.utils._compat
import time:      7394 |      32149 |                 pendulum.duration
import time:      6902 |      39051 |               pendulum.interval
import time:     10810 |      10810 |                 pendulum.mixins
import time:     14662 |      14662 |                   pendulum.formatting.formatter
import time:     11518 |      26179 |                 pendulum.formatting
import time:     16216 |      53204 |               pendulum.mixins.default
import time:     12925 |     253826 |             pendulum.date
import time:      9780 |       9780 |                       pendulum.tz.exceptions
import time:      9334 |       9334 |                       pendulum.tz.timezone
import time:     20850 |      39963 |                     pendulum.tz.local_timezone
import time:     19793 |      59755 |                   pendulum.tz
import time:       850 |      60605 |                 pendulum.tz.timezone
import time:     11187 |      71792 |               pendulum.time
import time:      7179 |      78971 |             pendulum.datetime
import time:      5754 |       5754 |             pendulum.parser
import time:     17335 |     369676 |           pendulum
import time:     33287 |     423817 |         airflow._shared.timezones.timezone
import time:     21061 |      21061 |               airflow._shared.logging._config
import time:      6710 |       6710 |                 pygtrie
import time:     12282 |      12282 |                 airflow._shared.logging._noncaching
import time:     13057 |      13057 |                 airflow._shared.logging.percent_formatter
import time:     29274 |      61321 |               airflow._shared.logging.structlog
import time:     22419 |     104800 |             airflow._shared.logging
import time:     12832 |      12832 |             airflow._shared.logging.remote
import time:     16533 |     134165 |           airflow._shared.logging.factory
import time:      9886 |     144050 |         airflow.logging_config
import time:     13280 |      13280 |         airflow.utils.orm_event_handlers
import time:     17417 |    2000242 |       airflow.settings
import time:     13909 |    2014150 |     airflow.utils.session
import time:     12640 |      12640 |     rich._emoji_codes
/mnt/d/market-intelligence/.venv/lib/python3.12/site-packages/airflow/configuration.py:402 DeprecationWarning: The grid_view_sorting_order option in [webserver] has been moved to the grid_view_sorting_order option in [api] - the old setting has been used, but please update your config.
/mnt/d/market-intelligence/.venv/lib/python3.12/site-packages/airflow/configuration.py:403 DeprecationWarning: The grid_view_sorting_order option in [webserver] has been moved to the grid_view_sorting_order option in [api] - the old setting has been used, but please update your config.
/mnt/d/market-intelligence/.venv/lib/python3.12/site-packages/airflow/_shared/configuration/parser.py:441 FutureWarning: The 'log_filename_template' setting in [logging] has the old default value of 'dag_id={{ ti.dag_id }}/run_id={{ ti.run_id }}/task_id={{ ti.task_id }}/{% if ti.map_index >= 0 %}map_index={{ ti.map_index }}/{% endif %}attempt={{ try_number }}.log'. This value has been changed to 'dag_id={{ ti.dag_id }}/run_id={{ ti.run_id }}/task_id={{ ti.task_id }}/{% if ti.map_index >= 0 %}map_index={{ ti.map_index }}/{% endif %}attempt={{ try_number|default(ti.try_number) }}.log' in the running config, but please update your config.
/mnt/d/market-intelligence/.venv/lib/python3.12/site-packages/airflow/_shared/configuration/parser.py:441 FutureWarning: The 'executor' setting in [core] has the old default value of 'SequentialExecutor'. This value has been changed to 'LocalExecutor' in the running config, but please update your config.
import time:   1048516 |   12156845 |   airflow.configuration
import time:      3026 |       3026 |   airflow_local_settings
import time:     21374 |      21374 |       airflow.executors
import time:     15776 |      15776 |       airflow.executors.executor_constants
import time:     15381 |      15381 |       airflow.executors.executor_utils
import time:     17638 |      17638 |       airflow.models.team
import time:     27559 |      97725 |     airflow.executors.executor_loader
import time:     20856 |      20856 |     airflow.utils.log.log_stream_accumulator
import time:      1935 |       1935 |           _queue
import time:      3385 |       5319 |         queue
import time:      2689 |       8008 |       logging.handlers
import time:     20502 |      28510 |     airflow.utils.log.non_caching_file_handler
import time:     15770 |      15770 |     airflow.utils.state
import time:     25567 |     188426 |   airflow.utils.log.file_task_handler
import time:      3419 |       3419 |       gettext
import time:     11645 |      11645 |         click._compat
import time:     11990 |      11990 |           click.globals
import time:     10613 |      10613 |           click.utils
import time:     12435 |      35037 |         click.exceptions
import time:     14916 |      61596 |       click.types
import time:     12053 |      12053 |       click._utils
import time:     10796 |      10796 |         click.parser
import time:     15426 |      26221 |       click.formatting
import time:     11580 |      11580 |       click.termui
import time:     27495 |     142362 |     click.core
import time:     12100 |      12100 |     click.decorators
import time:     18216 |     172677 |   click
import time:     12231 |      12231 |       httpcore._models
import time:     21167 |      21167 |               httpcore._backends
import time:     12684 |      12684 |               httpcore._exceptions
import time:     10287 |      10287 |               httpcore._utils
import time:     14713 |      14713 |               httpcore._backends.base
import time:     30303 |      89152 |             httpcore._backends.sync
import time:     15353 |      15353 |                 certifi.core
import time:     15916 |      31268 |               certifi
import time:     10783 |      42051 |             httpcore._ssl
import time:      2142 |       2142 |               trio
import time:     26537 |      26537 |                   anyio._core
import time:     21548 |      48085 |                 anyio._core._contextmanagers
import time:     14056 |      14056 |                   anyio._core._exceptions
import time:     16964 |      16964 |                     sniffio._version
import time:      9808 |       9808 |                     sniffio._impl
import time:     16196 |      42967 |                   sniffio
import time:     17511 |      74533 |                 anyio._core._eventloop
import time:     11679 |      11679 |                   anyio.to_thread
import time:     22184 |      22184 |                     anyio.abc._eventloop
import time:     14853 |      14853 |                     anyio.abc._resources
import time:     11890 |      11890 |                       anyio._core._typedattr
import time:     11212 |      11212 |                         anyio.abc._tasks
import time:     12168 |      23379 |                       anyio.abc._streams
import time:     15644 |      50911 |                     anyio.abc._sockets
import time:      8603 |       8603 |                     anyio.abc._subprocesses
import time:      9264 |       9264 |                     anyio.abc._testing
import time:      8986 |       8986 |                       anyio.lowlevel
import time:     10067 |      10067 |                       anyio._core._tasks
import time:     12497 |      12497 |                       anyio._core._testing
import time:     19144 |      50693 |                     anyio._core._synchronization
import time:     11121 |      11121 |                     anyio.from_thread
import time:     27275 |     194900 |                   anyio.abc
import time:     16397 |     222976 |                 anyio._core._fileio
import time:     17069 |      17069 |                 anyio._core._resources
import time:     11025 |      11025 |                 anyio._core._signals
import time:     15421 |      15421 |                     anyio.streams
import time:     24991 |      40411 |                   anyio.streams.stapled
import time:     15889 |      15889 |                   anyio.streams.tls
import time:     22026 |      78326 |                 anyio._core._sockets
import time:     16976 |      16976 |                   anyio.streams.memory
import time:     14726 |      31702 |                 anyio._core._streams
import time:     15919 |      15919 |                 anyio._core._subprocesses
import time:     14186 |      14186 |                 anyio._core._tempfile
import time:     25499 |     539313 |               anyio
import time:     12570 |     554025 |             httpcore._synchronization
import time:     10032 |      10032 |             httpcore._trace
import time:     11438 |      11438 |                     h11._abnf
import time:     17956 |      17956 |                       h11._util
import time:      9677 |      27633 |                     h11._headers
import time:     15057 |      54127 |                   h11._events
import time:     11657 |      11657 |                     h11._receivebuffer
import time:      5741 |       5741 |                     h11._state
import time:     26164 |      43562 |                   h11._readers
import time:      5133 |       5133 |                   h11._writers
import time:     19471 |     122291 |                 h11._connection
import time:      4194 |       4194 |                 h11._version
import time:     14290 |     140774 |               h11
import time:      5544 |       5544 |               httpcore._sync.interfaces
import time:     18221 |     164538 |             httpcore._sync.http11
import time:     30758 |     890553 |           httpcore._sync.connection
import time:     19345 |      19345 |           httpcore._sync.connection_pool
import time:     12278 |      12278 |           httpcore._sync.http_proxy
import time:      1883 |       1883 |               h2
import time:      1037 |       2919 |             h2.config
import time:     15112 |      18031 |           httpcore._sync.http2
import time:      1971 |       1971 |             socksio
import time:     14870 |      16841 |           httpcore._sync.socks_proxy
import time:     24684 |     981730 |         httpcore._sync
import time:       707 |     982437 |       httpcore._sync.connection_pool
import time:     20647 |    1015314 |     httpcore._api
import time:     11827 |      11827 |         httpcore._backends.auto
import time:     12123 |      12123 |           httpcore._async.interfaces
import time:     13460 |      25582 |         httpcore._async.http11
import time:     20664 |      58072 |       httpcore._async.connection
import time:     11614 |      11614 |       httpcore._async.connection_pool
import time:     13222 |      13222 |       httpcore._async.http_proxy
import time:      1135 |       1135 |           h2
import time:       830 |       1964 |         h2.config
import time:     14075 |      16039 |       httpcore._async.http2
import time:      1966 |       1966 |         socksio
import time:     19975 |      21940 |       httpcore._async.socks_proxy
import time:     23253 |     144138 |     httpcore._async
import time:     13590 |      13590 |     httpcore._backends.mock
import time:     13158 |      13158 |     httpcore._backends.anyio
import time:      2069 |       2069 |       trio
import time:     14693 |      16761 |     httpcore._backends.trio
import time:     21360 |    1224318 |   httpcore
import time:     13993 |      13993 |     httpx.__version__
import time:      2058 |       2058 |             http.client
import time:       182 |        182 |               urllib.response
import time:      1151 |       1332 |             urllib.error
import time:      4610 |       7999 |           urllib.request
import time:     10232 |      10232 |           httpx._exceptions
import time:      4349 |       4349 |             http.cookiejar
import time:       969 |        969 |                   _winapi
import time:      1774 |       1774 |                   winreg
import time:      3010 |       5751 |                 mimetypes
import time:      9649 |       9649 |                 httpx._types
import time:      5886 |       5886 |                 httpx._utils
import time:     11107 |      32392 |               httpx._multipart
import time:      8976 |      41368 |             httpx._content
import time:      1680 |       1680 |               brotli
import time:      1102 |       1102 |               brotlicffi
import time:      2005 |       2005 |               zstandard
import time:     10188 |      14973 |             httpx._decoders
import time:     10199 |      10199 |             httpx._status_codes
import time:     10327 |      10327 |               httpx._urlparse
import time:     10780 |      21107 |             httpx._urls
import time:     15559 |     107552 |           httpx._models
import time:     12476 |     138259 |         httpx._auth
import time:      9000 |       9000 |         httpx._config
import time:     13462 |      13462 |               httpx._transports.base
import time:     21071 |      34533 |             httpx._transports.asgi
import time:     13378 |      13378 |             httpx._transports.default
import time:     13591 |      13591 |             httpx._transports.mock
import time:     13255 |      13255 |             httpx._transports.wsgi
import time:     21933 |      96687 |           httpx._transports
import time:      1059 |      97746 |         httpx._transports.base
import time:     17448 |     262452 |       httpx._client
import time:     12549 |     275000 |     httpx._api
import time:      1649 |       1649 |         mmap
import time:     11503 |      11503 |         rich.filesize
import time:     11193 |      11193 |             rich.ansi
import time:     12476 |      23669 |           rich.file_proxy
import time:     15425 |      15425 |           rich.live_render
import time:     14093 |      53185 |         rich.live
import time:     16612 |      16612 |         rich.progress_bar
import time:     13034 |      13034 |           rich._spinners
import time:     12622 |      25656 |         rich.spinner
import time:     19908 |     128510 |       rich.progress
import time:     12743 |     141252 |     httpx._main
import time:     18552 |     448796 |   httpx
import time:      1687 |       1687 |     socketserver
import time:      2335 |       4021 |   logging.config
import time:     13165 |      13165 |   airflow.utils.log.timezone_aware
import time:     23979 |      23979 |     airflow.sdk._shared.secrets_masker.secrets_masker
import time:     21280 |      45258 |   airflow.sdk._shared.secrets_masker
import time:     11333 |      11333 |       sqlalchemy.dialects.postgresql.operators
import time:     14910 |      26243 |     sqlalchemy.dialects.postgresql.array
import time:     48892 |      48892 |       sqlalchemy.dialects.postgresql.json
import time:     15367 |      15367 |       sqlalchemy.dialects.postgresql.ranges
import time:     14010 |      14010 |           sqlalchemy.dialects.postgresql.types
import time:     14340 |      28350 |         sqlalchemy.dialects.postgresql.pg_catalog
import time:     21217 |      21217 |         sqlalchemy.dialects.postgresql.ext
import time:     18440 |      18440 |         sqlalchemy.dialects.postgresql.hstore
import time:     11882 |      11882 |         sqlalchemy.dialects.postgresql.named_types
import time:     27288 |     107176 |       sqlalchemy.dialects.postgresql.base
import time:     12862 |      12862 |         sqlalchemy.connectors
import time:     18108 |      30970 |       sqlalchemy.connectors.asyncio
import time:     18481 |     220884 |     sqlalchemy.dialects.postgresql.asyncpg
import time:     11992 |      11992 |     sqlalchemy.dialects.postgresql.pg8000
import time:      9459 |       9459 |       sqlalchemy.dialects.postgresql._psycopg_common
import time:     13107 |      22566 |     sqlalchemy.dialects.postgresql.psycopg
import time:     10071 |      10071 |     sqlalchemy.dialects.postgresql.psycopg2
import time:     10479 |      10479 |     sqlalchemy.dialects.postgresql.psycopg2cffi
import time:      7116 |       7116 |       sqlalchemy.dialects._typing
import time:     10335 |      17451 |     sqlalchemy.dialects.postgresql.dml
import time:     23324 |     343006 |   sqlalchemy.dialects.postgresql
import time:      5378 |       5378 |       psycopg2.errors
import time:     69185 |      74562 |     psycopg2._psycopg
import time:      5828 |       5828 |       psycopg2._json
import time:      8146 |       8146 |       psycopg2._range
import time:     11378 |      25351 |     psycopg2.extensions
import time:     12876 |     112788 |   psycopg2
import time:      5732 |       5732 |     psycopg2._ipaddress
import time:     10202 |      15934 |   psycopg2.extras
import time:      8668 |       8668 |       asyncpg.compat
import time:      1457 |       1457 |           termios
import time:      2275 |       3731 |         getpass
import time:     19759 |      19759 |           asyncpg.exceptions._base
import time:     18909 |      38667 |         asyncpg.exceptions
import time:     10288 |      10288 |               asyncpg.pgproto
import time:      6907 |       6907 |               asyncpg.pgproto.types
import time:     14847 |      32041 |             asyncpg.pgproto.pgproto
import time:      7120 |       7120 |             asyncpg.types
import time:      4325 |       4325 |             asyncpg.protocol.record
import time:      1280 |       1280 |             hmac
import time:      1132 |       1132 |             secrets
import time:      1696 |       1696 |             stringprep
import time:     25494 |      73086 |           asyncpg.protocol.protocol
import time:     18599 |      91684 |         asyncpg.protocol
import time:     13253 |     147334 |       asyncpg.connect_utils
import time:      6857 |       6857 |         asyncpg.connresource
import time:      7393 |      14249 |       asyncpg.cursor
import time:      6604 |       6604 |       asyncpg.introspection
import time:      6449 |       6449 |       asyncpg.prepared_stmt
import time:      7491 |       7491 |       asyncpg.serverversion
import time:      7002 |       7002 |       asyncpg.transaction
import time:      6049 |       6049 |       asyncpg.utils
import time:     21855 |     225698 |     asyncpg.connection
import time:      7596 |       7596 |     asyncpg.pool
import time:      7103 |       7103 |     asyncpg._version
import time:     15091 |     255486 |   asyncpg
import time:     15841 |      15841 |   airflow.sdk.log
import time:     14584 |      14584 |       airflow.sdk.yaml
import time:     20540 |      35123 |     airflow.sdk.execution_time.macros
import time:     42737 |      77860 |   airflow.sdk.execution_time
import time:     25974 |      25974 |         airflow.dag_processing
import time:     28568 |      54542 |       airflow.dag_processing.bundles
[2026-08-04T20:57:53.963201Z] {/mnt/d/market-intelligence/.venv/lib/python3.12/site-packages/airflow/dag_processing/bundles/base.py:305} WARNING - The dag_dir_list_interval option in [scheduler] has been moved to the refresh_interval option in [dag_processor] - the old setting has been used, but please update your config. category=DeprecationWarning
import time:     25691 |      80232 |     airflow.dag_processing.bundles.base
import time:      8170 |       8170 |           itsdangerous.exc
import time:     12127 |      20297 |         itsdangerous.encoding
import time:      6502 |       6502 |           itsdangerous.signer
import time:      9878 |      16380 |         itsdangerous.serializer
import time:      8655 |       8655 |         itsdangerous.timed
import time:     37243 |      37243 |           itsdangerous._json
import time:      9869 |      47112 |         itsdangerous.url_safe
import time:     16145 |     108586 |       itsdangerous
import time:     17271 |      17271 |                         sqlalchemy.dialects.mysql.types
import time:     19871 |      37142 |                       sqlalchemy.dialects.mysql.enumerated
import time:     12093 |      49234 |                     sqlalchemy.dialects.mysql.reflection
import time:     12751 |      12751 |                     sqlalchemy.dialects.mysql.json
import time:     13203 |      13203 |                     sqlalchemy.dialects.mysql.reserved_words
import time:     17508 |      92694 |                   sqlalchemy.dialects.mysql.base
import time:     12914 |     105607 |                 sqlalchemy.dialects.mysql.mysqldb
import time:     13899 |     119506 |               sqlalchemy.dialects.mysql.pymysql
import time:     17510 |     137016 |             sqlalchemy.dialects.mysql.aiomysql
import time:     13997 |      13997 |             sqlalchemy.dialects.mysql.asyncmy
import time:     16480 |      16480 |             sqlalchemy.dialects.mysql.cymysql
import time:     14721 |      14721 |             sqlalchemy.dialects.mysql.mariadbconnector
import time:     13055 |      13055 |               sqlalchemy.dialects.mysql.mariadb
import time:     13658 |      26713 |             sqlalchemy.dialects.mysql.mysqlconnector
import time:     10534 |      10534 |               sqlalchemy.connectors.pyodbc
import time:     15574 |      26107 |             sqlalchemy.dialects.mysql.pyodbc
import time:     11843 |      11843 |             sqlalchemy.dialects.mysql.dml
import time:     14794 |      14794 |             sqlalchemy.dialects.mysql.expression
import time:     23599 |     285265 |           sqlalchemy.dialects.mysql
import time:      6953 |       6953 |           sqlalchemy.ext.compiler
import time:     13813 |      13813 |           airflow.serialization.enums
import time:     16757 |     322787 |         airflow.utils.sqlalchemy
import time:     13875 |     336662 |       airflow.models.dagbundle
import time:     19141 |     464388 |     airflow.dag_processing.bundles.manager
import time:     28864 |      28864 |       airflow.sdk._shared.observability
import time:     58839 |      87702 |     airflow.sdk._shared.observability.metrics
import time:     22265 |      22265 |         airflow.sdk._shared.observability.metrics.protocols
import time:     23925 |      46189 |       airflow.sdk._shared.observability.metrics.base_stats_logger
import time:     14259 |      14259 |       airflow.sdk._shared.observability.metrics.metrics_registry
import time:     39141 |      99588 |     airflow.sdk._shared.observability.metrics.stats
import time:     22994 |      22994 |     airflow.sdk._shared.observability.traces
import time:     27873 |      27873 |     airflow.sdk._shared.template_rendering
import time:      5416 |       5416 |           msgspec._utils
import time:     13501 |      18916 |         msgspec._core
import time:      5002 |       5002 |           msgspec._typing_utils
